RowID,Structure,Nitrosoimine,Nitrosated_hetSub_amine,N_in_aromatic_ring,Acyclic,piperidine,N4_sub_piperazine,N4_unsub_piperazine,morpholine,pyrrolidine,ring_size_3,ring_size_4,ring_size_5,ring_size_6,ring_size_7,Et_Me_only,Has_Et_Me,Has_a_CH2,Heterosubstituted_a_carbon,Multiple_nitroso,Has_t_butyl,Has_i_propyl,One_C_aromatic,Both_C_aromatic,Allylic_Or_Propargylic,Benzylic,Vinyl_or_Alkynyl,Has_b_EWG_strong,Has_b_EWG_weak,Has_a_Nitrile,Carboxylic_acid,Nitrosamine,Nitrosoamide,ring_size_8_plus,Nitrosourea,Nitrosoamidine,Nitrosocarbamate,Nitrosoguanidine,Nitrosated_primary_amine,Nitramine,Nitrosohydroxylamine,Nitroso_sulphonamide,pKaH of parent amine,activated feature,deactivated feature,overall potency category,Average Mass,CAS (Unique concatenate),CAS (Count),calculate_score
Row1477,N(CCCCC=O)(CC(N(C(CC)=O)C1=NC=CC=C1)C)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.316532794,0,0,"no features from either list, medium",320.3873801,15686-91-6,1,1
Row1478,OC(COC=1C=CC(O)=CC=1)CN(CCN=C(O)N2CCOCC2)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.766329587,0,0,"no features from either list, medium",368.3855949,,0,3
Row1479,O(C)C=1C=CC(=CC=1C(NCC(N(CCC)N=O)CCC=O)=O)S(N)(=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.351146688,0,1,potency-reducing feature,400.4503818,,0,2
Row1480,O(C)C=1C=CC(=CC=1C(NCC(CCCN(CCC)N=O)=O)=O)S(N)(=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.30690632,0,0,"no features from either list, medium",400.4503818,,0,0
Row1481,O(C)C=1C=C(C=C(C(NCC(CCCN(C)N=O)=O)=O)C=1OC)S(NC)(=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.138502257,1,0,potent feature,416.4497868,,0,1
Row1482,O(C)C=1C=C(C=C(C(NCC(N(C)N=O)CCC=O)=O)C=1OC)S(NC)(=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.122873949,1,1,"both, medium but review",416.4497868,,0,3
Row1483,N(C)(C)CCN(CCC(CC=O)Cc1ccccc1)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.352305181,0,0,"no features from either list, medium",291.3892127,3/5/3565,1,1
Row1484,O(CCCC)C=1C=CC=C(CCN(CC(N(C)C)=O)N=O)C=1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.201951481,1,0,potent feature,307.3886176,,0,2
Row1485,OC(COC1=CC=C(CCN=C(O)OC)C=C1)CN(C(C)C)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.223149542,0,1,potency-reducing feature,339.3874275,59110-35-9,1,4
Row1486,OC(COC=1C=CC=CC=1OCC(NC)=O)CN(C(C)(C)C)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.793453258,0,1,potency-reducing feature,339.3874275,34919-98-7,1,
Row1487,N(C(C)=O)C=2C=CC(N1CCN(CC1)CCCN(C)N=O)=CC=2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.978020722,1,0,potent feature,319.4026191,299-48-9,1,1
Row1488,N1(CCN(CC1)C4=NC(N2CCCC2)=NC(N3CCCC3)=C4)N=O,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.862296823,0,0,"no features from either list, medium",331.4166206,110101-66-1,1,3
Row1489,N1(CCN(CC1)N=O)CCc2nc3n(CC(C)C)c(=O)n(C)c(=O)c3n2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.162745062,0,0,"no features from either list, medium",362.4074897,,0,fail to calculate
Row1490,[H][C@@]2(OC)O[C@@]1([H])O[C@@]3(CN(CCCCC=O)N=O)[C@]([H])(O)C[C@@]([H])([C@@]1([H])C)[C@@]23[H],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.298318734,0,0,"no features from either list, medium",342.3880699,69055-89-6,1,2
Row1491,NC(C(CCN(C(C)C)N=O)(CC(C)C)C1=NC=CC=C1)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.528920146,0,1,potency-reducing feature,306.4038567,96513-83-6 [SUPERSEDED],1,3
Row1492,OC(N(CCS(=O)(=O)C=1C=CC=CC=1)C(C)C)=NCCN(CC)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.744320107,1,0,potent feature,370.4674535,85053-46-9,1,1
Row1493,N(CCC)(CCCCN2C(CC1(CCCC1)CC2=O)=O)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.363715631,0,0,"no features from either list, medium",309.4044991,,0,0
Row1494,O1CC1CN2CCC(CC2)C(CCN(CC3OC3)N=O)CC=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.951607751,0,0,"no features from either list, medium",325.4039041,,0,1
Row1495,OC(CN(CCN(CCN(CC(O)=O)N=O)CC(O)=O)CCN(CC=O)CC(O)=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7.589929901,1,1,"both, medium but review",449.4137401,131330-52-4 [ALTERNATIVE],4,4
Row1496,OC(CN(CCN(CC(O)=O)CC(N1CCOCC1)=O)CCN(CC(O)=O)N=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7.536646355,1,1,"both, medium but review",433.4143351,,0,4
Row1497,[H][C@]13CN(CC(C)C)C[C@@]([H])(CN(C1)N=O)C23CCCCC2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.961983416,0,0,"no features from either list, medium",279.4215708,,0,3
Row1498,OC1(CCN(CC1)N=O)C(C)(C)C(N(C)C2CCCCC2)=O,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.883799852,0,0,"no features from either list, medium",311.4203806,,0,3
Row1499,[H][C@@](O)(CO)[C@]([H])(N1CCN(CCN(CCN(CC1)CC(O)=O)N=O)CC(O)=O)CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5.796110416,0,1,potency-reducing feature,421.4466932,138071-82-6 [SUPERSEDED],1,5
Row1500,[H][C@@](O)(CO)[C@]([H])(N1CCN(CCN(CCN(CC1)N=O)CC(O)=O)CC(O)=O)CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5.559076446,0,1,potency-reducing feature,421.4466932,138071-82-6 [SUPERSEDED],1,5
Row1501,OCCN(C(COCC=O)CCCC(CCC)CCC)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.672446689,0,1,potency-reducing feature,316.4369046,,0,4
Row1502,OCCN(CCOCC(CCCC(CCC)CCC)=O)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.824362283,0,0,"no features from either list, medium",316.4369046,,0,2
Row1503,N1(CCCN(C)N=O)CCC2(C1)CC[Ge](CC)(CC)CC2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.585385317,1,0,potent feature,356.093178,41992-23-8,1,1
Row1504,OCCN(CCCCCCCCCCCCCC)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.774494388,0,0,"no features from either list, medium",286.4539763,,0,2
Row1505,OC([C@H](N1CCN(CCN(CCN(CC1)[C@@H](CCCC(NCC(NC=2C=CC(=CC=2)C(NC=3C=CC(=CC=3)C(NCC(NC=4C(Br)=C(C(Br)=C(C=4Br)C(N(C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)C(N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)=O)=O)=O)=O)=O)C(O)=O)N=O)[C@H](CCCC(NCC(NC=5C=CC(=CC=5)C(NC=6C=CC(=CC=6)C(NCC(NC=7C(Br)=C(C(Br)=C(C=7Br)C(N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)C(N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)=O)=O)=O)=O)=O)C(O)=O)CCCC(NCC(NC=8C=CC(=CC=8)C(NC=9C=CC(=CC=9)C(NCC(NC=%10C(Br)=C(C(Br)=C(C=%10Br)C(N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)C(N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O)=O)=O)=O)=O)=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5.962313324,0,1,potency-reducing feature,4854.104558,,0,5
Row1506,FC(F)(F)CN(N=O)c2ccc(Cl)cc2C(=NCC=O)c1ccccc1F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.292178547,0,1,potency-reducing feature,401.7432692,,0,4
Row1507,FC=3C=CC=CC=3C1(OCCN1N=O)C=2C=C(Br)C=CC=2NC(=O)C=O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.045057224,0,0,"no features from either list, medium",422.2054012,,0,4
Row1508,FC=3C=CC=CC=3C1(OCC=O)N(CC(NC=2C=CC(Br)=CC1=2)=O)N=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.167187801,1,0,potent feature,422.2054012,,0,4
Row1509,ClC=3C=CC(NC(=O)C=O)=C(C1(OCCN1N=O)C=2C=CC=CC=2Cl)C=3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.659399457,0,0,"no features from either list, medium",394.2093446,,0,4
